contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,T,impliedVolatilityNoAssumptions,moneyness
MSFT250627C00452500,2025-06-24 17:26:33+00:00,452.5,38.0,38.75,41.95,0.0,0.0,4.0,43.0,0.5810588769531251,True,REGULAR,USD,2025-06-27,2.0,-2.768734715410216e+20,0.9192110226070123
MSFT250627C00455000,2025-06-25 18:45:15+00:00,455.0,36.07,36.75,39.45,-0.3600006,-0.9881982,6.0,323.0,0.596683720703125,True,REGULAR,USD,2025-06-27,2.0,4328.36337412952,0.9242895365440675
MSFT250627C00457500,2025-06-25 19:14:47+00:00,457.5,34.02,34.2,37.05,0.15000153,0.4428743,2.0,91.0,0.56836369140625,True,REGULAR,USD,2025-06-27,2.0,-95250643051302.19,0.9293680504811228
MSFT250627C00460000,2025-06-25 19:58:54+00:00,460.0,32.5,31.8,34.65,1.2399998,3.9667299,631.0,1127.0,0.5507857421875001,True,REGULAR,USD,2025-06-27,2.0,-3075.049247605155,0.9344465644181782
MSFT250627C00462500,2025-06-25 19:19:04+00:00,462.5,29.1,29.4,32.15,-0.29999924,-1.0204055,29.0,111.0,0.5241746801757812,True,REGULAR,USD,2025-06-27,2.0,149.15425646225904,0.9395250783552335
MSFT250627C00465000,2025-06-25 19:42:43+00:00,465.0,26.78,26.1,29.1,1.0799999,4.2023344,77.0,933.0,0.584965087890625,True,REGULAR,USD,2025-06-27,2.0,670738.500649229,0.9446035922922889
MSFT250627C00467500,2025-06-25 18:51:08+00:00,467.5,23.4,24.55,26.95,-0.14999962,-0.6369411,4.0,642.0,0.5804485314941408,True,REGULAR,USD,2025-06-27,2.0,2.473586835213518e+262,0.9496821062293441
MSFT250627C00470000,2025-06-25 19:58:53+00:00,470.0,22.5,22.15,23.75,1.5900002,7.604018,154.0,1295.0,0.47363807617187503,True,REGULAR,USD,2025-06-27,2.0,-4.6426721898754564e+64,0.9547606201663994
MSFT250627C00472500,2025-06-25 19:46:35+00:00,472.5,20.05,19.45,21.1,2.0499992,11.388885,14.0,506.0,0.42102629760742194,True,REGULAR,USD,2025-06-27,2.0,6.657427283129454e+33,0.9598391341034548
MSFT250627C00475000,2025-06-25 19:56:37+00:00,475.0,17.25,17.4,17.95,1.7600002,11.362171,398.0,3238.0,0.3127510131835937,True,REGULAR,USD,2025-06-27,2.0,-317.1146883090211,0.9649176480405101
MSFT250627C00477500,2025-06-25 19:47:42+00:00,477.5,14.4,14.8,15.6,0.8999996,6.6666636,252.0,6378.0,0.29566134033203123,True,REGULAR,USD,2025-06-27,2.0,3.1663945804056144e+255,0.9699961619775654
MSFT250627C00480000,2025-06-25 19:59:59+00:00,480.0,12.81,12.45,13.3,1.9100008,17.522943,660.0,7081.0,0.2790599438476562,True,REGULAR,USD,2025-06-27,2.0,1199485.574560152,0.9750746759146207
MSFT250627C00482500,2025-06-25 19:46:35+00:00,482.5,10.05,10.05,10.8,1.4000006,16.184978,356.0,2454.0,0.24048611083984373,True,REGULAR,USD,2025-06-27,2.0,-245582802.24479014,0.980153189851676
MSFT250627C00485000,2025-06-25 19:59:59+00:00,485.0,8.1,7.8,8.3,1.4000006,20.895533,1664.0,4125.0,0.20020331054687499,True,REGULAR,USD,2025-06-27,2.0,-6.788190025475788e+31,0.9852317037887314
MSFT250627C00487500,2025-06-25 19:59:58+00:00,487.5,5.95,5.9,6.05,1.3499999,29.347824,755.0,2293.0,0.174812939453125,True,REGULAR,USD,2025-06-27,2.0,47683308.52525391,0.9903102177257866
MSFT250627C00490000,2025-06-25 19:59:18+00:00,490.0,4.0,3.95,4.05,0.8499999,26.984123,4373.0,8529.0,0.1557701611328125,True,REGULAR,USD,2025-06-27,2.0,-52711416.32031849,0.9953887316628419
MSFT250627C00492500,2025-06-25 19:59:27+00:00,492.5,2.33,2.38,2.47,0.42999995,22.631577,6677.0,4325.0,0.1450280810546875,False,REGULAR,USD,2025-06-27,2.0,0.0003475398091985077,1.0004672455998973
